market id,market symbol,market name,trade quantity,trade price,date/time [utc]
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,66.5,Sep/30/2004 20:59:04
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,39,66.5,Oct/01/2004 12:38:22
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,70.0,Oct/01/2004 17:10:21
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,74.0,Oct/04/2004 16:42:34
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,69.0,Oct/04/2004 19:08:57
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,73.0,Oct/05/2004 00:26:39
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,75.0,Oct/05/2004 01:18:34
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,20,75.0,Oct/05/2004 01:18:34
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,73.1,Oct/05/2004 12:11:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,78.0,Oct/06/2004 17:27:50
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,4,78.0,Oct/06/2004 17:43:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,20,74.0,Oct/06/2004 22:09:17
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,3,77.0,Oct/08/2004 20:33:58
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,80,78.0,Oct/09/2004 03:05:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,6,78.0,Oct/09/2004 04:21:43
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,50,77.0,Oct/09/2004 05:09:02
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,89,82.0,Oct/09/2004 17:04:51
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,80.0,Oct/09/2004 17:04:51
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,50,80.0,Oct/10/2004 01:03:10
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,25,80.0,Oct/10/2004 01:16:45
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,25,80.0,Oct/10/2004 01:24:36
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,77.0,Oct/10/2004 21:27:37
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,34,77.0,Oct/12/2004 02:13:12
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,80.6,Oct/14/2004 03:52:15
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,81.0,Oct/14/2004 12:50:26
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,80,81.0,Oct/14/2004 15:44:49
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,82.0,Oct/15/2004 15:08:54
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,9,80.0,Oct/15/2004 15:09:26
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,30,85.0,Oct/16/2004 00:53:39
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,80.0,Oct/16/2004 04:42:59
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,84.0,Oct/16/2004 13:44:04
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,40,80.0,Oct/16/2004 21:24:57
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,49,80.0,Oct/17/2004 10:29:06
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,77.0,Oct/17/2004 11:58:36
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,81.0,Oct/20/2004 00:45:37
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,81.0,Oct/20/2004 01:07:04
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,81.0,Oct/20/2004 18:14:49
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,9,81.0,Oct/20/2004 18:25:26
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,71,81.0,Oct/21/2004 01:06:08
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,15,80.0,Oct/22/2004 08:11:37
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,84.0,Oct/22/2004 14:08:39
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,84.0,Oct/22/2004 14:41:12
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,25,80.0,Oct/22/2004 18:18:51
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,25,80.0,Oct/22/2004 18:19:23
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,25,79.0,Oct/23/2004 03:56:19
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,82.0,Oct/24/2004 19:59:40
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,3,82.0,Oct/25/2004 08:17:00
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,82.0,Oct/25/2004 18:37:44
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,84.0,Oct/25/2004 22:20:19
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,83.0,Oct/25/2004 23:12:36
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,83.9,Oct/26/2004 16:12:35
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,83.9,Oct/26/2004 19:21:54
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,83.9,Oct/26/2004 19:22:22
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,83.8,Oct/26/2004 22:25:05
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,83.9,Oct/26/2004 22:43:51
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,84.9,Oct/27/2004 11:59:55
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,84.9,Oct/29/2004 02:49:26
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,20,84.9,Oct/29/2004 11:25:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,28,85.0,Oct/29/2004 11:27:29
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,70,85.0,Oct/29/2004 14:43:56
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,19,84.0,Oct/29/2004 22:18:11
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,84.0,Oct/29/2004 22:18:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,84.0,Oct/29/2004 22:19:37
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,77,84.0,Oct/29/2004 22:19:37
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,89.0,Oct/30/2004 04:58:40
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,40,89.0,Oct/30/2004 07:25:43
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,84.0,Oct/31/2004 02:54:30
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,86.2,Oct/31/2004 14:57:40
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,86.2,Oct/31/2004 15:28:50
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,86.2,Oct/31/2004 15:29:13
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,52,86.2,Oct/31/2004 17:30:11
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,89.0,Nov/01/2004 03:23:17
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,3,89.0,Nov/01/2004 23:22:25
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,20,88.0,Nov/02/2004 00:53:24
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,88.0,Nov/02/2004 01:02:25
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,7,89.0,Nov/02/2004 01:02:39
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,15,90.0,Nov/02/2004 01:12:21
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,89.0,Nov/02/2004 02:28:55
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,90.0,Nov/02/2004 02:33:26
