market id,market symbol,market name,trade quantity,trade price,date/time [utc]
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,53,29.9,Dec/30/2011 15:57:29
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,11,29.9,Dec/30/2011 16:02:09
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,30.0,Dec/30/2011 16:07:24
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,8,30.0,Dec/30/2011 16:55:23
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,33.0,Dec/30/2011 17:46:48
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,33.0,Dec/30/2011 18:31:29
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,25.5,Dec/30/2011 20:33:56
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,25.0,Dec/30/2011 20:34:24
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,30.0,Dec/30/2011 21:50:42
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,33.0,Dec/30/2011 22:54:42
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,34.0,Dec/30/2011 22:58:28
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,35.0,Dec/31/2011 08:21:16
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,35.0,Dec/31/2011 08:21:16
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,3,36.0,Dec/31/2011 08:21:16
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,24,36.5,Dec/31/2011 17:34:29
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,6,34.7,Dec/31/2011 21:11:37
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,34.0,Dec/31/2011 21:11:37
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,10,32.5,Dec/31/2011 21:11:55
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,20,30.0,Dec/31/2011 22:21:00
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,3,29.0,Dec/31/2011 23:23:53
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,50,29.9,Jan/01/2012 01:24:14
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,28.0,Jan/01/2012 02:26:42
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,4,28.0,Jan/01/2012 02:26:42
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,27.0,Jan/01/2012 02:27:09
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,6,26.0,Jan/01/2012 02:27:53
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,16,26.0,Jan/01/2012 02:27:53
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,1,25.7,Jan/01/2012 03:58:00
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,1,25.6,Jan/01/2012 03:58:12
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,1,25.6,Jan/01/2012 03:58:25
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,25.6,Jan/01/2012 03:58:53
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,5,34.7,Jan/01/2012 05:34:01
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,20,34.7,Jan/01/2012 05:37:16
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,15,34.7,Jan/01/2012 08:50:19
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,10,34.7,Jan/01/2012 16:21:11
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,25,39.9,Jan/02/2012 02:04:05
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,7,29.1,Jan/02/2012 04:16:38
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,1,29.4,Jan/02/2012 21:27:11
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,3,29.4,Jan/02/2012 21:55:52
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,1,32.4,Jan/03/2012 00:40:17
753838,ROMNEY:IA.NH.SC.FL.NV,Mitt Romney to win Iowa, New Hampshire, South Carolina, Florida and Nevada primaries/cacuses in 2012,2,30.0,Jan/03/2012 04:18:15
